Spanish,English
de,of
que,that
no,No
a,a
el,the
y,and
es,it is
en,in
lo,it
un,a
por,by
qué,what
me,I
una,a
los,the
se,I know
te,tea
con,with
para,for
está,this
mi,me
pero,but
sí,Yes
si,Yes
bien,right
su,its
las,the
yo,me
del,of
como,What
aquí,here
tu,your
al,to the
más,plus
le,you
esto,this
todo,all
ya,Already
estoy,am
muy,very
ha,he has
esta,is
así,So
vamos,we go
algo,something
hay,there are
tengo,I've got
él,the
cuando,when
estás,are
sé,HE
tú,your
nos,us
nada,any
cómo,What
este,East
o,either
he,He
ser,be
tiene,have
quiero,I want
hacer,do
fue,it was
gracias,Thank you
vez,time
era,it was
soy,am
sólo,single
todos,everybody
porque,because
son,are
tienes,you have
creo,I think
voy,I go
estaba,I was
puede,can
eres,are
ese,that
usted,you
entonces,then
hola,hello
solo,only
verdad,TRUE
casa,House
tan,so
quién,who
sus,their
tiempo,weather
dos,two
esa,this
nunca,never
dónde,where
oh,Oh
favor,favour
mí,my
quieres,you want
siento,I feel
señor,mister
mejor,better
hace,does
has,you have
decir,tell
también,also
sobre,on
dios,god
tenemos,we have
están,is it so
ti,you
puedes,you may
hombre,men
vida,life
alguien,someone
cosas,stuff
siempre,forever
hasta,until
ahí,there
ir,to go
antes,before
estar,be
ni,neither
poco,little bit
día,day
noche,night
hecho,done
mis,my
estamos,we're
otra,other
acuerdo,agreement
trabajo,worked
nosotros,us
parece,It seems
gente,people
sea,be
padre,dad
mira,look
mismo,same
dijo,said
nadie,no one
quiere,wants
podría,could
hablar,speak
vas,you go
ellos,they
sr.,Mr.
tal,such
pasa,happens
fuera,outside
después,after
han,they have
desde,since
dinero,money
mundo,world
claro,Sure
momento,moment
les,them
tener,to have
estado,condition
había,there was
tenía,I had
madre,mother
vale,okay
lugar,place
haciendo,making
donde,where
seguro,sure
sabe,knows
podemos,can
tus,your
espera,wait
nuevo,new
sido,been
cosa,stuff
hijo,son
allí,over there
menos,less
amigo,dude
gran,great
nuestro,our
mujer,woman
mamá,breast
luego,later
papá,father
días,days
dice,He says
hoy,today
tres,three
buena,good
necesito,needed
dije,said
gusta,like
quería,wanted
será,will be
haber,to have
parte,part
todas,all
crees,You believe
buen,good
conmigo,with me
nombre,Name
mierda,shit
nuestra,our
mal,wrong
debe,must
realmente,Really
estas,these
aún,even
mío,Own
toda,all
hacerlo,do it
cada,each
visto,viewed
importa,It matters
contigo,with you
tienen,have
hemos,we have
razón,reason
alguna,some
tanto,so much
saber,to know
hizo,made
veces,times
serio,I laughed
ven,come
idea,idea
eh,Hey
tarde,afternoon
problema,issue
hora,hour
cierto,certain
dicho,saying
quien,who
demasiado,too
amor,love
entre,Come in
ve,go
pasado,past
familia,family
estos,these
policía,policeman
debería,should
ustedes,your
chica,girl
esos,those
cuenta,bill
haces,you do
todavía,yet
salir,leave
algún,some
vaya,wow
unos,some
veo,I see
amigos,friends
hermano,brother
pensé,I thought
sabía,I knew
cabeza,head
ah,ah
cariño,sweetie
digo,say
van,go
hombres,mens
buenas,good
somos,are
cualquier,any
forma,form
mientras,while
lado,side
debo,I shall
sería,would
caso,case
pueden,they can
pasó,I pass
primera,first
genial,cool
chico,boy
supuesto,supposed
hice,I did
pues,well
muchas,many
personas,people
señora,Mrs
volver,return
esas,those
quizá,Maybe
contra,against
camino,road
durante,during
hablando,talking
manera,way
muerto,dead
persona,person
rápido,Quick
cuál,which
ayuda,aid
historia,history
iba,I was going
supongo,I guess
nueva,new
dentro,within
casi,almost
puerta,gate
ves,you see
primero,first
significa,it means
hacia,towards
espero,wait
juntos,together
año,year
niños,kids
pronto,early
tío,uncle
suerte,luck
ciudad,city
siquiera,even
feliz,happy
venir,to come
hija,daughter
gustaría,would like
minutos,minutes
cuánto,how many
os,you
hey,Hey
dejar,let
realidad,reality
deja,let
problemas,problems
vi,saw
da,gives
importante,important
dijiste,said
corazón,heart
miedo,fear
jefe,boss
agua,Water
haré,I will do
justo,just
horas,hours
poder,can
buenos,good ones
esposa,wife
manos,hands
debes,you should
viene,comes
venga,come on
nuestros,our
ojos,eyes
adelante,ahead
encontrar,find
mano,hand
niño,little boy
ninguna,none
otros,others
cara,expensive
cuidado,watch out
bajo,bass
cerca,close
viejo,old
déjame,let me
noches,nights
bastante,Quite
tomar,drink
único,unique
misma,same
escucha,listen
ningún,none
suficiente,enough
punto,point
cuándo,when
sigue,follow
haya,is
equipo,equipment
grande,great
necesita,needs to
llegar,get
incluso,even
algunos,Some
doctor,doctor
difícil,hard
aunque,though
hubiera,had
primer,first
coche,car
hago,I make
clase,class
cuatro,four
dices,You say
pequeño,little
llama,call
toma,taking
hiciste,did
allá,there
última,last
arriba,up
tierra,Earth
guerra,war
pueda,I can
igual,Same
loco,crazy
sangre,blood
mujeres,women
vuelta,lap
fui,I was
trabajar,to work
tenido,Dyed
juego,play
deberías,you should
cuerpo,Body
e,and
algunas,some
entrar,get in
cree,Believe
podía,could
debemos,must
teléfono,telephone
necesitamos,need
final,final
listo,clever
fiesta,party
muchos,Many
estabas,You were
quieren,They want
vete,go away
dar,to give
vivir,to live
posible,possible
ok,okay
hermana,sister
número,number
meses,months
exactamente,exactly
culpa,fault
abajo,down
escuela,school
ido,gone
fuerte,strong
diciendo,saying
habla,speech
esté,East
ello,it
pregunta,Question
chicas,girls
eran,were
unas,nail
pasando,going
atrás,behind
malo,bad
capitán,captain
sra.,mrs
bebé,baby
segundo,second
sabemos,we know
mayor,elderly
comida,food
morir,To die
conozco,know
dame,give to me
fácil,easy
comer,to eat
vino,came
lista,ready
haga,make
necesitas,you need
hijos,sons
probablemente,probably
padres,fathers
habitación,room
creer,believe
pensando,thinking
fueron,were
dime,tell me
